Num.of.Individuals,Num.of.Markers,Type,accuracy,SD,Comparison,
13,10,T,1,0,Amur_Bengal,
13,20,T,1,0,Amur_Bengal,
13,30,T,1,0,Amur_Bengal,
13,40,T,1,0,Amur_Bengal,
13,50,T,1,0,Amur_Bengal,
13,60,T,1,0,Amur_Bengal,
13,70,T,1,0,Amur_Bengal,
13,80,T,1,0,Amur_Bengal,
13,90,T,1,0,Amur_Bengal,
13,100,T,1,0,Amur_Bengal,
13,10,R,0.92,NA,Amur_Bengal,
13,20,R,0.966153846,NA,Amur_Bengal,
13,30,R,0.987692308,NA,Amur_Bengal,
13,40,R,1,NA,Amur_Bengal,
13,50,R,0.998461538,NA,Amur_Bengal,
13,60,R,0.998461538,NA,Amur_Bengal,
13,70,R,0.998461538,NA,Amur_Bengal,
13,80,R,1,NA,Amur_Bengal,
13,90,R,1,NA,Amur_Bengal,
13,100,R,1,NA,Amur_Bengal,
13,10,T,1,0,Amur_Generic,
13,20,T,1,0,Amur_Generic,
13,30,T,1,0,Amur_Generic,
13,40,T,1,0,Amur_Generic,
13,50,T,1,0,Amur_Generic,
13,60,T,1,0,Amur_Generic,
13,70,T,1,0,Amur_Generic,
13,80,T,1,0,Amur_Generic,
13,90,T,1,0,Amur_Generic,
13,100,T,1,0,Amur_Generic,
13,10,R,0.846153846,NA,Amur_Generic,
13,20,R,0.927692308,NA,Amur_Generic,
13,30,R,0.966153846,NA,Amur_Generic,
13,40,R,0.98,NA,Amur_Generic,
13,50,R,0.990769231,NA,Amur_Generic,
13,60,R,0.996923077,NA,Amur_Generic,
13,70,R,0.996923077,NA,Amur_Generic,
13,80,R,1,NA,Amur_Generic,
13,90,R,1,NA,Amur_Generic,
13,100,R,1,NA,Amur_Generic,
10,10,T,1,0,Yorkie_Lab,
10,20,T,1,0,Yorkie_Lab,
10,30,T,1,0,Yorkie_Lab,
10,40,T,1,0,Yorkie_Lab,
10,50,T,1,0,Yorkie_Lab,
10,60,T,1,0,Yorkie_Lab,
10,70,T,1,0,Yorkie_Lab,
10,80,T,1,0,Yorkie_Lab,
10,90,T,1,0,Yorkie_Lab,
10,100,T,1,0,Yorkie_Lab,
20,10,T,1,0,Yorkie_Lab,
20,20,T,1,0,Yorkie_Lab,
20,30,T,1,0,Yorkie_Lab,
20,40,T,1,0,Yorkie_Lab,
20,50,T,1,0,Yorkie_Lab,
20,60,T,1,0,Yorkie_Lab,
20,70,T,1,0,Yorkie_Lab,
20,80,T,1,0,Yorkie_Lab,
20,90,T,1,0,Yorkie_Lab,
20,100,T,1,0,Yorkie_Lab,
30,10,T,1,0,Yorkie_Lab,
30,20,T,1,0,Yorkie_Lab,
30,30,T,1,0,Yorkie_Lab,
30,40,T,1,0,Yorkie_Lab,
30,50,T,1,0,Yorkie_Lab,
30,60,T,1,0,Yorkie_Lab,
