"Num.of.Individuals","Num.of.Markers","Type","accuracy","SD"
10,10,"T",1,0
10,20,"T",1,0
10,30,"T",1,0
10,40,"T",1,0
10,50,"T",1,0
10,60,"T",1,0
10,70,"T",1,0
10,80,"T",1,0
10,90,"T",1,0
10,100,"T",1,0
20,10,"T",0.975,0
20,20,"T",0.975,0
20,30,"T",1,0
20,40,"T",1,0
20,50,"T",1,0
20,60,"T",1,0
20,70,"T",1,0
20,80,"T",1,0
20,90,"T",1,0
20,100,"T",1,0
30,10,"T",0.983333333333333,0
30,20,"T",0.983333333333333,0
30,30,"T",1,0
30,40,"T",1,0
30,50,"T",1,0
30,60,"T",1,0
30,70,"T",1,0
30,80,"T",1,0
30,90,"T",1,0
30,100,"T",1,0
40,10,"T",0.9875,0
40,20,"T",0.9875,0
40,30,"T",1,0
40,40,"T",1,0
40,50,"T",1,0
40,60,"T",1,0
40,70,"T",1,0
40,80,"T",1,0
40,90,"T",1,0
40,100,"T",1,0
50,10,"T",0.98,0
50,20,"T",0.99,0
50,30,"T",1,0
50,40,"T",1,0
50,50,"T",1,0
50,60,"T",1,0
50,70,"T",1,0
50,80,"T",1,0
50,90,"T",1,0
50,100,"T",1,0
10,10,"R",0.785,0.126802789276975
10,20,"R",0.885,0.0670820393249937
10,30,"R",0.93,0.0571240570577479
10,40,"R",0.95,0.0628280862437543
10,50,"R",0.9725,0.0412788973740948
10,60,"R",0.98,0.034027852368936
10,70,"R",0.9825,0.02935714743062
10,80,"R",0.975,0.0344123600805843
10,90,"R",0.9825,0.02935714743062
10,100,"R",0.985,0.028562028528874
20,10,"R",0.7875,0.104974934351517
20,20,"R",0.87625,0.0540923917210661
20,30,"R",0.9225,0.0404741632987866
20,40,"R",0.945,0.049736145915484
20,50,"R",0.96875,0.031282877442023
20,60,"R",0.975,0.0362738125055006
20,70,"R",0.98,0.0208377188366623
20,80,"R",0.97625,0.0171583185288315
20,90,"R",0.98125,0.0137529901055045
20,100,"R",0.98375,0.0186289955092649
30,10,"R",0.796666666666667,0.0877929515347404
30,20,"R",0.883333333333333,0.0587391896238007
30,30,"R",0.930833333333333,0.0355717707907968
30,40,"R",0.949166666666666,0.0395423379585486
30,50,"R",0.973333333333333,0.0244231699021682
30,60,"R",0.978333333333333,0.0259892015362386
30,70,"R",0.9825,0.0175010442462043
30,80,"R",0.98,0.0138918125577747
30,90,"R",0.984166666666667,0.0114388790192209
30,100,"R",0.986666666666667,0.0138918125577748
40,10,"R",0.795,0.0734936445515779
40,20,"R",0.888125,0.0475510459788658
40,30,"R",0.931875,0.0325644603662853
40,40,"R",0.950625,0.0312763047184623
40,50,"R",0.970625,0.0226801994560987
40,60,"R",0.978125,0.0217926079934893
40,70,"R",0.9825,0.0136930639376292
40,80,"R",0.981875,0.0118064155173542
40,90,"R",0.985,0.00959714869937394
40,100,"R",0.9875,0.0114707866935281
50,10,"R",0.8025,0.0630684673901893
50,20,"R",0.891,0.0427846504694087
50,30,"R",0.933,0.029929742292312
50,40,"R",0.9515,0.0332890056135181
50,50,"R",0.97,0.0238415824271708
50,60,"R",0.9775,0.0194327450183284
50,70,"R",0.9835,0.0134848843251679
50,80,"R",0.9835,0.0108942283125661
50,90,"R",0.986,0.00882579950158088
50,100,"R",0.989,0.00911909506128992
