"Num.of.Individuals","Num.of.Markers","Type","accuracy","SD"
10,10,"T",1,0
10,20,"T",1,0
10,30,"T",1,0
10,40,"T",1,0
10,50,"T",1,0
10,60,"T",1,0
10,70,"T",1,0
10,80,"T",1,0
10,90,"T",1,0
10,100,"T",1,0
20,10,"T",0.975,0
20,20,"T",1,0
20,30,"T",1,0
20,40,"T",1,0
20,50,"T",1,0
20,60,"T",1,0
20,70,"T",1,0
20,80,"T",1,0
20,90,"T",1,0
20,100,"T",1,0
30,10,"T",0.983333333333333,0
30,20,"T",1,0
30,30,"T",1,0
30,40,"T",1,0
30,50,"T",1,0
30,60,"T",1,0
30,70,"T",1,0
30,80,"T",1,0
30,90,"T",1,0
30,100,"T",1,0
40,10,"T",0.9875,0
40,20,"T",1,0
40,30,"T",1,0
40,40,"T",1,0
40,50,"T",1,0
40,60,"T",1,0
40,70,"T",1,0
40,80,"T",1,0
40,90,"T",1,0
40,100,"T",1,0
50,10,"T",0.99,0
50,20,"T",1,0
50,30,"T",1,0
50,40,"T",1,0
50,50,"T",1,0
50,60,"T",1,0
50,70,"T",1,0
50,80,"T",1,0
50,90,"T",1,0
50,100,"T",1,0
10,10,"R",0.8075,0.112711788950496
10,20,"R",0.91,0.0699623959145573
10,30,"R",0.96,0.0502624689950035
10,40,"R",0.9775,0.030240265941465
10,50,"R",0.985,0.028562028528874
10,60,"R",0.9875,0.027505980211009
10,70,"R",0.9925,0.0244680242464796
10,80,"R",0.9975,0.011180339887499
10,90,"R",0.9975,0.011180339887499
10,100,"R",0.9975,0.011180339887499
20,10,"R",0.80875,0.101071561412278
20,20,"R",0.905,0.0559605123937265
20,30,"R",0.9575,0.042996327872579
20,40,"R",0.9725,0.030240265941465
20,50,"R",0.98125,0.0291039425797298
20,60,"R",0.9875,0.0206792547967128
20,70,"R",0.99125,0.0167705098312484
20,80,"R",0.995,0.0130787090945149
20,90,"R",0.9975,0.00769483764063866
20,100,"R",0.99875,0.00559016994374948
30,10,"R",0.809166666666667,0.0876054085221865
30,20,"R",0.9075,0.0494043467084042
30,30,"R",0.9575,0.0376483420726427
30,40,"R",0.969166666666667,0.0311921980048579
30,50,"R",0.976666666666667,0.0293197735804185
30,60,"R",0.985,0.017013926184468
30,70,"R",0.988333333333333,0.0133552451531005
30,80,"R",0.99,0.011342617456312
30,90,"R",0.996666666666667,0.00683985568056785
30,100,"R",0.998333333333333,0.00512989176042589
40,10,"R",0.8125,0.0797817747292411
40,20,"R",0.9075,0.0433771708087148
40,30,"R",0.9575,0.0332949340227451
40,40,"R",0.971875,0.0249588477087258
40,50,"R",0.97875,0.0233325501121682
40,60,"R",0.986875,0.0143241377071233
40,70,"R",0.99125,0.0100164338648254
40,80,"R",0.99125,0.0100164338648254
40,90,"R",0.99625,0.00587702932477032
40,100,"R",0.998125,0.00457934435665652
50,10,"R",0.8165,0.0727124835441473
50,20,"R",0.907,0.040013155731321
50,30,"R",0.954,0.0296292884970616
50,40,"R",0.97,0.0242790791466754
50,50,"R",0.9765,0.0249789384966826
50,60,"R",0.9865,0.0122581873821025
50,70,"R",0.9915,0.0081272770088725
50,80,"R",0.9915,0.0081272770088725
50,90,"R",0.9965,0.00489360484929593
50,100,"R",0.998,0.00410391340834062
