Num.of.Individuals	Num.of.Markers	Type	accuracy	SD	misclassification	FST	jittered_x
10	10	T	1	0	0	0.01	9.93514461084269
10	20	T	0.95	0	0.05	0.01	19.7756100745872
10	30	T	1	0	0	0.01	29.9067678503226
10	40	T	1	0	0	0.01	40.1772976793349
10	50	T	1	0	0	0.01	49.8176093032118
10	60	T	1	0	0	0.01	59.9908296491951
10	70	T	1	0	0	0.01	70.2886101374403
10	80	T	1	0	0	0.01	79.756559321424
10	90	T	1	0	0	0.01	90.2116528107785
10	100	T	1	0	0	0.01	100.248291399376
20	10	T	0.925	0	0.075	0.01	10.0536310627591
20	20	T	0.925	0	0.075	0.01	20.2758325720206
20	30	T	0.95	0	0.05	0.01	29.8096323612146
20	40	T	0.975	0	0.025	0.01	39.8168488983531
20	50	T	1	0	0	0.01	50.2737485588994
20	60	T	1	0	0	0.01	59.8668044894468
20	70	T	1	0	0	0.01	70.0235371613875
20	80	T	1	0	0	0.01	80.0334023507312
20	90	T	1	0	0	0.01	90.1722216180526
20	100	T	1	0	0	0.01	99.8186757183634
30	10	T	0.95	0	0.05	0.01	10.0888611908536
30	20	T	0.95	0	0.05	0.01	19.9535032575484
30	30	T	0.966666666666667	0	0.033333333333333	0.01	30.1065126875415
30	40	T	0.983333333333333	0	0.0166666666666671	0.01	40.2101600096095
30	50	T	1	0	0	0.01	50.1146371888928
30	60	T	1	0	0	0.01	59.8977739620488
30	70	T	1	0	0	0.01	69.7530837624799
30	80	T	1	0	0	0.01	79.8939095759764
30	90	T	1	0	0	0.01	89.878301096661
30	100	T	1	0	0	0.01	99.9130371508189
40	10	T	0.925	0	0.075	0.01	9.78673518747091
40	20	T	0.95	0	0.05	0.01	20.0182431567926
40	30	T	0.975	0	0.025	0.01	30.2755417947192
40	40	T	0.9875	0	0.0125	0.01	40.2577757526189
40	50	T	1	0	0	0.01	49.913590483414
40	60	T	1	0	0	0.01	59.9415134569164
40	70	T	1	0	0	0.01	70.1676322725136
40	80	T	1	0	0	0.01	79.9591047713999
40	90	T	1	0	0	0.01	89.8186266653705
40	100	T	1	0	0	0.01	100.119034514111
50	10	T	0.92	0	0.08	0.01	10.2845589285251
