Num.of.Individuals	Num.of.Markers	Type	accuracy	SD	misclassification	FST	jittered_x
10	10	T	0.8	0	0.2	0.01	9.93514461084269
10	20	T	0.8	0	0.2	0.01	19.7756100745872
10	30	T	0.85	0	0.15	0.01	29.9067678503226
10	40	T	0.8	0	0.2	0.01	40.1772976793349
10	50	T	0.75	0	0.25	0.01	49.8176093032118
10	60	T	0.7	0	0.3	0.01	59.9908296491951
10	70	T	0.75	0	0.25	0.01	70.2886101374403
10	80	T	0.7	0	0.3	0.01	79.756559321424
10	90	T	0.75	0	0.25	0.01	90.2116528107785
10	100	T	0.7	0	0.3	0.01	100.248291399376
20	10	T	0.8	0	0.2	0.01	10.0536310627591
20	20	T	0.825	0	0.175	0.01	20.2758325720206
20	30	T	0.8	0	0.2	0.01	29.8096323612146
20	40	T	0.775	0	0.225	0.01	39.8168488983531
20	50	T	0.75	0	0.25	0.01	50.2737485588994
20	60	T	0.725	0	0.275	0.01	59.8668044894468
20	70	T	0.75	0	0.25	0.01	70.0235371613875
20	80	T	0.725	0	0.275	0.01	80.0334023507312
20	90	T	0.75	0	0.25	0.01	90.1722216180526
20	100	T	0.725	0	0.275	0.01	99.8186757183634
30	10	T	0.783333333333333	0	0.216666666666667	0.01	10.0888611908536
30	20	T	0.8	0	0.2	0.01	19.9535032575484
30	30	T	0.766666666666667	0	0.233333333333333	0.01	30.1065126875415
30	40	T	0.733333333333333	0	0.266666666666667	0.01	40.2101600096095
30	50	T	0.733333333333333	0	0.266666666666667	0.01	50.1146371888928
30	60	T	0.7	0	0.3	0.01	59.8977739620488
30	70	T	0.7	0	0.3	0.01	69.7530837624799
30	80	T	0.683333333333333	0	0.316666666666667	0.01	79.8939095759764
30	90	T	0.7	0	0.3	0.01	89.878301096661
30	100	T	0.666666666666667	0	0.333333333333333	0.01	99.9130371508189
40	10	T	0.775	0	0.225	0.01	9.78673518747091
40	20	T	0.7875	0	0.2125	0.01	20.0182431567926
40	30	T	0.75	0	0.25	0.01	30.2755417947192
40	40	T	0.725	0	0.275	0.01	40.2577757526189
40	50	T	0.75	0	0.25	0.01	49.913590483414
40	60	T	0.725	0	0.275	0.01	59.9415134569164
40	70	T	0.7125	0	0.2875	0.01	70.1676322725136
40	80	T	0.7	0	0.3	0.01	79.9591047713999
40	90	T	0.7125	0	0.2875	0.01	89.8186266653705
40	100	T	0.675	0	0.325	0.01	100.119034514111
50	10	T	0.75	0	0.25	0.01	10.2845589285251
50	20	T	0.75	0	0.25	0.01	19.7743804886471
50	30	T	0.75	0	0.25	0.01	29.9289019851945
50	40	T	0.73	0	0.27	0.01	40.2337407724001
50	50	T	0.75	0	0.25	0.01	49.9992111686151
50	60	T	0.72	0	0.28	0.01	60.2411712556612
50	70	T	0.72	0	0.28	0.01	69.9197425713763
50	80	T	0.71	0	0.29	0.01	80.2438457579352
50	90	T	0.72	0	0.28	0.01	90.2431075318716
50	100	T	0.69	0	0.31	0.01	100.035888721189
10	10	R	0.5725	0.112945026217928	0.4275	0.01	9.79257547492161
10	20	R	0.625	0.13228756555323	0.375	0.01	20.0681997407228
10	30	R	0.64	0.15183093090325	0.36	0.01	30.120797105832
10	40	R	0.6575	0.132063581178477	0.3425	0.01	40.1770920670591
10	50	R	0.6525	0.134237613365648	0.3475	0.01	50.0386385566555
10	60	R	0.665	0.133869535860774	0.335	0.01	60.164826424839
10	70	R	0.695	0.120197206377905	0.305	0.01	69.7394441226497
10	80	R	0.6975	0.124049014082083	0.3025	0.01	79.7860781351104
10	90	R	0.705	0.124498995979887	0.295	0.01	89.7064861783292
10	100	R	0.725	0.115279979546366	0.275	0.01	99.8343895535916
20	10	R	0.55875	0.110702006352759	0.44125	0.01	10.2517816272099
20	20	R	0.6275	0.100295615688403	0.3725	0.01	19.7897488693241
20	30	R	0.65	0.0990082399548006	0.35	0.01	30.1954801135696
20	40	R	0.67375	0.0954473539100014	0.32625	0.01	40.1127124157269
20	50	R	0.67375	0.089763944819029	0.32625	0.01	50.2121990173589
20	60	R	0.6925	0.0862600108606776	0.3075	0.01	59.9197350543458
20	70	R	0.70375	0.0859448262427398	0.29625	0.01	70.1238058072981
20	80	R	0.71375	0.0848663810444333	0.28625	0.01	80.198344095191
20	90	R	0.7225	0.0810701450661872	0.2775	0.01	90.253174605919
20	100	R	0.74375	0.07339286857655	0.25625	0.01	100.141273959354
30	10	R	0.561666666666667	0.0705243518972441	0.438333333333333	0.01	9.75975640490651
30	20	R	0.62	0.0767771895949915	0.38	0.01	19.7697150899097
30	30	R	0.646666666666667	0.0779113306175454	0.353333333333333	0.01	29.8097010672558
30	40	R	0.674166666666667	0.0734438959203093	0.325833333333333	0.01	40.1057794621214
30	50	R	0.671666666666667	0.0761078028904969	0.328333333333333	0.01	50.2978391709272
30	60	R	0.694166666666667	0.072804111123557	0.305833333333333	0.01	60.295677377237
30	70	R	0.7025	0.0745895199825556	0.2975	0.01	70.0305954081006
30	80	R	0.7125	0.0723205583350594	0.2875	0.01	79.9019924171735
30	90	R	0.720833333333333	0.0675110993690052	0.279166666666667	0.01	89.7859434943646
30	100	R	0.740833333333333	0.0605711123318931	0.259166666666667	0.01	99.8312799287029
40	10	R	0.565	0.0740732212426539	0.435	0.01	10.0743714159355
40	20	R	0.62125	0.0636215165523508	0.37875	0.01	19.7130429078359
40	30	R	0.64625	0.0677529373999075	0.35375	0.01	30.0652170756832
40	40	R	0.673125	0.0721241391447303	0.326875	0.01	39.8335317866411
40	50	R	0.67625	0.06550662883291	0.32375	0.01	49.9309515714645
40	60	R	0.698125	0.0627331178800111	0.301875	0.01	60.0917176974937
40	70	R	0.705	0.0705243518972441	0.295	0.01	69.8989743596874
40	80	R	0.718125	0.0704164071416374	0.281875	0.01	80.1833218996879
40	90	R	0.729375	0.0628640711962598	0.270625	0.01	90.2245048248209
40	100	R	0.745625	0.061274162795715	0.254375	0.01	99.910033084685
50	10	R	0.567	0.0707181209562227	0.433	0.01	10.027155904891
50	20	R	0.62	0.0631622805494745	0.38	0.01	19.8675512295682
50	30	R	0.649	0.0599912274288587	0.351	0.01	30.0480600203387
50	40	R	0.6745	0.0578996409406192	0.3255	0.01	39.7173320309259
50	50	R	0.678	0.0596127856296476	0.322	0.01	49.7675788079388
50	60	R	0.6975	0.0523022591843744	0.3025	0.01	60.2757515994832
50	70	R	0.7085	0.0568724334296549	0.2915	0.01	70.0116563601419
50	80	R	0.725	0.0588038666827455	0.275	0.01	79.907729217317
50	90	R	0.735	0.0530640129813437	0.265	0.01	90.0993587428238
50	100	R	0.7485	0.0510185724696616	0.2515	0.01	100.083160074428
10	10	T	0.5	0	0.5	0.02	9.75494028697722
10	20	T	0.55	0	0.45	0.02	19.8338023356162
10	30	T	0.65	0	0.35	0.02	29.9159038175829
10	40	T	0.5	0	0.5	0.02	40.1461929951794
10	50	T	0.5	0	0.5	0.02	50.1133087857626
10	60	T	0.55	0	0.45	0.02	60.2498692282476
10	70	T	0.55	0	0.45	0.02	70.0546267030761
10	80	T	0.55	0	0.45	0.02	79.9214969358407
10	90	T	0.6	0	0.4	0.02	90.2151526367292
10	100	T	0.6	0	0.4	0.02	99.7993345906492
20	10	T	0.625	0	0.375	0.02	9.8531172464136
20	20	T	0.625	0	0.375	0.02	19.7455040450208
20	30	T	0.7	0	0.3	0.02	30.1876231307164
20	40	T	0.6	0	0.4	0.02	40.2497305979952
20	50	T	0.625	0	0.375	0.02	50.1970196233131
20	60	T	0.65	0	0.35	0.02	60.0821247747168
20	70	T	0.6	0	0.4	0.02	70.0629038488027
20	80	T	0.6	0	0.4	0.02	79.7456109900027
20	90	T	0.625	0	0.375	0.02	89.8802657618187
20	100	T	0.625	0	0.375	0.02	100.061445163656
30	10	T	0.616666666666667	0	0.383333333333333	0.02	9.83954136548564
30	20	T	0.65	0	0.35	0.02	19.9207161746919
30	30	T	0.716666666666667	0	0.283333333333333	0.02	30.1901743956842
30	40	T	0.65	0	0.35	0.02	40.012639859831
30	50	T	0.65	0	0.35	0.02	49.707234112313
30	60	T	0.666666666666667	0	0.333333333333333	0.02	60.0891855619848
30	70	T	0.633333333333333	0	0.366666666666667	0.02	70.2659144388046
30	80	T	0.616666666666667	0	0.383333333333333	0.02	79.7265769542661
30	90	T	0.683333333333333	0	0.316666666666667	0.02	89.9483271519653
30	100	T	0.65	0	0.35	0.02	100.051861608215
40	10	T	0.6125	0	0.3875	0.02	10.2755232248921
40	20	T	0.6375	0	0.3625	0.02	19.9575905427337
40	30	T	0.6875	0	0.3125	0.02	29.7282265889458
40	40	T	0.6375	0	0.3625	0.02	40.2090224300046
40	50	T	0.625	0	0.375	0.02	49.7650988807902
40	60	T	0.6375	0	0.3625	0.02	60.2795579753816
40	70	T	0.6125	0	0.3875	0.02	69.841356394114
40	80	T	0.5875	0	0.4125	0.02	79.8166771780234
40	90	T	0.6625	0	0.3375	0.02	90.175738145085
